Postcode,District,Area,Taluka,PostalStatus
400033,Mumbai,Cotton Exchange ,Mumbai,Sub Office
400033,Mumbai,Kalachowki ,Mumbai,Sub Office
400033,Mumbai,L B S N E Collage ,Mumbai,Sub Office
400033,Mumbai,Reay Road ,Mumbai,Sub Office
400033,Mumbai,Tank Road ,Mumbai East,Sub Office
400034,Mumbai,Haji Ali ,Mumbai,Sub Office
400034,Mumbai,Tulsiwadi ,Mumbai,Sub Office
400035,Mumbai,Rajbhavan Mumbai ,Mumbai,Sub Office
400037,Mumbai,Antop Hill ,Mumbai,Sub Office
400037,Mumbai,B P T Colony ,Mumbai,Sub Office
400037,Mumbai,C G S Colony ,Mumbai,Sub Office
400037,Mumbai,Wadala Truck Terminal ,Mumbai East,Sub Office
400042,Mumbai,Bhandup East ,Mumbai North East,Sub Office
400043,Mumbai,D M Colony ,Mumbai North East,Sub Office
400043,Mumbai,Shivaji Nagar Mumbai ,Mumbai North East,Sub Office
400049,Mumbai,Juhu ,Mumbai,Sub Office
400050,Mumbai,Bandra West ,Mumbai,Sub Office
400051,Mumbai,Audit Bhavan ,Bandra,Sub Office
400051,Mumbai,B N Bhavan ,Mumbai,Sub Office
400051,Mumbai,Bandra East ,Mumbai,Sub Office
400051,Mumbai,Government Colony ,Mumbai,Sub Office
400051,Mumbai,Kherwadi ,Mumbai,Sub Office
400052,Mumbai,Danda ,Mumbai,Sub Office
400052,Mumbai,Khar Colony ,Mumbai,Sub Office
400052,Mumbai,Khar Delivery ,Mumbai,Sub Office
400052,Mumbai,V P Road ,Mumbai,Sub Office
400053,Mumbai,Andheri ,Mumbai,Head Office
400053,Mumbai,Azad Nagar Mumbai ,Mumbai,Sub Office
400054,Mumbai,Santacruz Central ,Mumbai,Sub Office
400054,Mumbai,Santacruz West ,Mumbai,Sub Office
400055,Mumbai,Santacruz East ,Mumbai,Sub Office
400055,Mumbai,Vakola ,Mumbai,Sub Office
400056,Mumbai,Irla ,Mumbai,Sub Office
400056,Mumbai,Vileparle West ,Mumbai,Sub Office
400057,Mumbai,Hanuman Road ,Mumbai,Sub Office
400057,Mumbai,Vileeparle East ,Mumbai,Sub Office
400057,Mumbai,Vileparle Railway Station ,Mumbai,Sub Office
400058,Mumbai,Andheri Railway Station ,Mumbai,Sub Office
400058,Mumbai,H M P School ,Mumbai,Sub Office
400059,Mumbai,J B Nagar ,Mumbai,Sub Office
400059,Mumbai,Marol Bazar ,Mumbai,Sub Office
400059,Mumbai,Marol Naka ,Mumbai,Sub Office
400060,Mumbai,Jogeshwari East ,Jogeshwari East,Sub Office
400061,Mumbai,Madh ,Mumbai,Branch Office
400061,Mumbai,Vesava ,Mumbai,Sub Office
400063,Mumbai,Goregaon East ,Goregaon East,Sub Office
400063,Mumbai,Sharma Estate ,Goregaon East,Sub Office
400064,Mumbai,Liberty Garden ,Malad West,Sub Office
400064,Mumbai,Malad ,Malad West,Sub Office
400064,Mumbai,Malad West Dely ,Malad West,Sub Office
400064,Mumbai,Orlem ,Malad West,Sub Office
400065,Mumbai,Aareymilk Colony ,Goregaon East,Sub Office
400065,Mumbai,Nagari Niwara ,Goregaon East,Sub Office
400065,Mumbai,S R P F Camp ,Jogeshwari East,Sub Office
400066,Mumbai,Borivali East ,Borivali East,Sub Office
400066,Mumbai,Daulat Nagar Mumbai ,Borivali East,Sub Office
400066,Mumbai,Magthane ,Borivali East,Branch Office
400066,Mumbai,Rajendra Nagar Mumbai ,Borivali East,Sub Office
400066,Mumbai,S K Nagar ,Borivali East,Sub Office
400067,Mumbai,Charkop ,Kandivali West,Sub Office
400067,Mumbai,Kandivali Rs ,Mumbai,Sub Office
400067,Mumbai,Kandivali West ,Kandivali West,Sub Office
400068,Mumbai,Dahisar Rs ,Dahisar West,Sub Office
400068,Mumbai,Dahisar ,Dahisar East,Sub Office
400068,Mumbai,Ketkipada ,Dahisar East,Branch Office
400069,Mumbai,Andheri East ,Mumbai,Sub Office
400069,Mumbai,Nagardas Road ,Mumbai,Sub Office
400070,Mumbai,Kurla North ,Mumbai North East,Sub Office
400070,Mumbai,Kurla ,Mumbai,Sub Office
400070,Mumbai,Netajinagar ,Mumbai,Sub Office
400071,Mumbai,Chembur ,Mumbai North East,Head Office
400071,Mumbai,Sindhi Society ,Mumbai North East,Sub Office
400072,Mumbai,Sakinaka ,Mumbai North East,Sub Office
400072,Mumbai,Vihar Road ,Mumbai North East,Sub Office
400074,Mumbai,Chembur Extension ,Mumbai North East,Sub Office
400074,Mumbai,Fci ,Mumbai North East,Sub Office
400074,Mumbai,Mahul Road ,Mumbai North East,Sub Office
400075,Mumbai,Best Staff Colony ,Mumbai North East,Sub Office
400075,Mumbai,Pant Nagar ,Mumbai North East,Sub Office
400075,Mumbai,R A Nagar ,Mumbai North East,Sub Office
400076,Mumbai,Powai Iit ,Mumbai North East,Sub Office
400077,Mumbai,Rajawadi ,Mumbai North East,Sub Office
400078,Mumbai,Bhandup Ind Estate ,Mumbai North East,Sub Office
400078,Mumbai,Bhandup West ,Mumbai North East,Sub Office
400078,Mumbai,J M Road ,Mumbai North East,Sub Office
400078,Mumbai,P H Colony ,Mumbai North East,Sub Office
400078,Mumbai,Usha Nagar ,Mumbai North East,Sub Office
400079,Mumbai,Psm Colony ,Mumbai North East,Sub Office
400079,Mumbai,Vikhroli ,Mumbai North East,Sub Office
400080,Mumbai,Mulund Dd Road ,Mumbai North East,Sub Office
400080,Mumbai,Mulund West ,Mumbai North East,Sub Office
400080,Mumbai,Nahur ,Mumbai North East,Sub Office
400080,Mumbai,Nehru Road Mumbai ,Mumbai North East,Sub Office
400080,Mumbai,S B Road ,Mumbai North East,Sub Office
400081,Mumbai,Mhada Colony ,Mumbai North East,Sub Office
400081,Mumbai,Mulund East ,Mumbai North East,Sub Office
400082,Mumbai,Bhandup Complex ,Mumbai North East,Sub Office
400082,Mumbai,Mulund Colony ,Mumbai North East,Sub Office
400083,Mumbai,Kannamwar Nagar ,Mumbai North East,Sub Office
400083,Mumbai,Tagore Nagar ,Mumbai North East,Sub Office
400084,Mumbai,Barve Nagar ,Mumbai North East,Sub Office
400085,Mumbai,Barc ,Mumbai North East,Sub Office
400086,Mumbai,Ghatkopar West ,Mumbai North East,Sub Office
400086,Mumbai,Rifle Range ,Mumbai North East,Sub Office
400086,Mumbai,Sahakar Bhavan ,Mumbai North East,Sub Office
400087,Mumbai,Nitie ,Mumbai,Sub Office
400088,Mumbai,Govandi ,Mumbai North East,Sub Office
400088,Mumbai,T F Donar ,Mumbai North East,Sub Office
400088,Mumbai,Trombay ,Mumbai North East,Sub Office
400089,Mumbai,Chembur Rs ,Mumbai North East,Sub Office
400089,Mumbai,Tilak Nagar Mumbai ,Mumbai North East,Sub Office
400091,Mumbai,Borivali ,Borivali West,Head Office
400092,Mumbai,Borivali West ,Borivali West,Sub Office
400093,Mumbai,Chakala Midc ,Mumbai,Sub Office
400094,Mumbai,Anushakti Nagar ,Mumbai North East,Sub Office
400095,Mumbai,Ins Hamla ,Malad West,Sub Office
400095,Mumbai,Kharodi ,Malad West,Sub Office
400096,Mumbai,Seepz ,Mumbai,Sub Office
400097,Mumbai,Malad East ,Malad East,Sub Office
400097,Mumbai,Rani Sati Marg ,Malad East,Sub Office
400098,Mumbai,Vidyanagari ,Mumbai,Sub Office
400099,Mumbai,Airport Mumbai ,Mumbai,Sub Office
400099,Mumbai,International Airport ,Mumbai,Sub Office
400099,Mumbai,Sahar P T Colony ,Mumbai,Sub Office
400099,Mumbai,Sahargaon ,Mumbai,Branch Office
400101,Mumbai,Kandivali East ,Kandivali East,Sub Office
400101,Mumbai,Thakur Complex ,Kandivali East,Sub Office
400101,Mumbai,Thakur Village ,Kandivali East,Sub Office
400101,Mumbai,Asha Nagar Thakur Complex ,Kandivali East,Sub Office
400102,Mumbai,Jogeshwari West ,Jogeshwari West,Sub Office
400102,Mumbai,Oshiwara ,Jogeshwari West,Sub Office
400103,Mumbai,Mandapeshwar ,Borivali West,Sub Office
400104,Mumbai,Bangur Nagar ,Goregaon West,Sub Office
400104,Mumbai,Goregaon Rs ,Goregaon West,Sub Office
400104,Mumbai,Goregaon Mumbai ,Goregaon West,Sub Office
400104,Mumbai,Motilal Nagar ,Goregaon West,Sub Office
